appno,fullname,protectedgender,date_first_submitted,fromwhichinstitutiondidyoureceiv,ifyouselectedoutofstateorother,internal_external,positioncategory,signle_race,jobtypesappliedfor,ethnicity2,primary_recruitment_source,days_need_review,days_screening,days_cert_hold,days_candidate_action,days_needs_second_review,days_rec_approved,mean_days_need_review,mean_days_screening,mean_days_cert_hold,mean_days_candidate_action,mean_days_needs_second_review,mean_days_rec_approved,hired,current_pipeline_stage,hired_yn,datecomp,lastaccess
205,Bruce Rose,Female,1/26/16,Kodolanyi Janos University College,John Brown University,External Applications,Middle School Teaching,White,Special Education,Not Hispanic,Teachers-Teachers,1,1,,,32,,0.96879274,2.840179,54.625,25.932098,18.942636,24.371952,0,Certification Pending,No,1/26/16,1/26/16
432,Wanda Lawrence,Female,1/26/16,Merkur Internationale FH Karlsruhe,John Brown University,External Applications,Middle School Teaching,White,Social Studies,Not Hispanic,Teachers-Teachers,1,1,,,32,,0.96879274,2.840179,54.625,25.932098,18.942636,24.371952,0,Certification Pending,No,1/26/16,1/26/16
282,Lisa Welch,Female,7/26/16,Utsunomiya University,University of Texas at Austin,External Applications,Elementary School Teaching,Hispanic-White,Elementary - Grades 1 - 6,Hispanic,TPS Website,1,1,,,,,0.96879274,2.840179,54.625,25.932098,18.942636,24.371952,0,Withdrawn,No,7/26/16,7/26/16
155,Peter Martinez,Female,7/26/16,Institute of Industrial Electronics Engineering,University of Texas at Austin,External Applications,Elementary School Teaching,Hispanic-White,General,Hispanic,TPS Website,1,1,,,,,0.96879274,2.840179,54.625,25.932098,18.942636,24.371952,0,Withdrawn,No,7/26/16,7/26/16
877,Douglas Torres,Female,7/26/16,Coker College,University of Texas at Austin,External Applications,Middle School Teaching,Hispanic-White,General,Hispanic,TPS Website,1,1,,,,,0.96879274,2.840179,54.625,25.932098,18.942636,24.371952,0,Withdrawn,No,7/26/16,7/26/16
814,Larry Vasquez,Female,7/26/16,Ecole Superieur d'Ingenieurs Leonard de Vinci,University of Texas at Austin,External Applications,Middle School Teaching,Hispanic-White,Science,Hispanic,TPS Website,1,1,,,,,0.96879274,2.840179,54.625,25.932098,18.942636,24.371952,0,Withdrawn,No,7/26/16,7/26/16
111,Martin Simpson,Female,7/26/16,Nile University,University of Texas at Austin,External Applications,Middle School Teaching,Hispanic-White,Reading,Hispanic,TPS Website,1,1,,,,,0.96879274,2.840179,54.625,25.932098,18.942636,24.371952,0,Withdrawn,No,7/26/16,7/26/16
28,Wanda Boyd,Male,6/1/15,Kodolanyi Janos University College,,External Applications,High School Teaching,White,Mathematics,Not Hispanic,TPS Website,1,0,,53,1,,0.96879274,2.840179,54.625,25.932098,18.942636,24.371952,1,Hired,Yes,7/19/16,7/19/16
200,Sandra Duncan,Male,6/1/15,Merkur Internationale FH Karlsruhe,,External Applications,Middle School Teaching,White,Mathematics,Not Hispanic,TPS Website,1,0,,53,1,,0.96879274,2.840179,54.625,25.932098,18.942636,24.371952,1,Hired,Yes,7/19/16,7/19/16
274,Kelly West,Male,6/1/15,Ecole Superieur d'Ingenieurs Leonard de Vinci,,External Applications,Elementary School Teaching,White,Special Education,Not Hispanic,TPS Website,,,,,,,,,,,,,0,,No,6/12/16,9/30/16
982,Clarence Hunter,Male,6/1/15,Nile University,,External Applications,Elementary School Teaching,White,Gifted and Talented,Not Hispanic,TPS Website,,,,,,,,,,,,,0,,No,6/12/16,9/30/16
2,Deborah Gibson,Female,6/1/15,Kodolanyi Janos University College,,Internal Applications,Elementary School Teaching,Black,Special Education,None Selected,None Listed,,,,,,,,,,,,,1,Teacher Transfer,Yes,6/1/15,7/27/16
977,Linda Gomez,Male,6/4/15,Merkur Internationale FH Karlsruhe,Northern Arizona University,External Applications,Elementary School Teaching,White,Elementary - Grades 1 - 6,Not Hispanic,University Job Fair,0,,,,,,0.96879274,2.840179,54.625,25.932098,18.942636,24.371952,1,Hired,Yes,7/17/16,7/17/16
904,Gerald Nelson,Male,6/4/15,Utsunomiya University,Northern Arizona University,External Applications,Elementary School Teaching,White,General,Not Hispanic,University Job Fair,0,,,,,,0.96879274,2.840179,54.625,25.932098,18.942636,24.371952,1,Hired,Yes,7/17/16,7/17/16
679,Margaret Fields,Male,6/4/15,Institute of Industrial Electronics Engineering,Northern Arizona University,External Applications,Elementary School Teaching,White,ELD - English Language Development,Not Hispanic,University Job Fair,0,,,,,,0.96879274,2.840179,54.625,25.932098,18.942636,24.371952,1,Hired,Yes,7/17/16,7/17/16
446,Paula Washington,Male,6/4/15,Coker College,Northern Arizona University,External Applications,High School Teaching,White,Social Studies - History,Not Hispanic,University Job Fair,0,1,,,,,0.96879274,2.840179,54.625,25.932098,18.942636,24.371952,1,Hired,Yes,7/17/16,7/17/16
50,Nicholas Black,Male,6/4/15,Ecole Superieur d'Ingenieurs Leonard de Vinci,Northern Arizona University,External Applications,High School Teaching,White,Social Studies - Economics,Not Hispanic,University Job Fair,0,1,,,,,0.96879274,2.840179,54.625,25.932098,18.942636,24.371952,1,Hired,Yes,7/17/16,7/17/16
585,Bonnie Austin,Male,6/4/15,Nile University,Northern Arizona University,External Applications,High School Teaching,White,General,Not Hispanic,University Job Fair,0,1,,,,,0.96879274,2.840179,54.625,25.932098,18.942636,24.371952,1,Hired,Yes,7/17/16,7/17/16
753,Carol Montgomery,Male,6/4/15,Kodolanyi Janos University College,Northern Arizona University,External Applications,Middle School Teaching,White,Social Studies,Not Hispanic,University Job Fair,0,1,,,,,0.96879274,2.840179,54.625,25.932098,18.942636,24.371952,1,Hired,Yes,7/17/16,7/17/16
644,Melissa Clark,Male,6/4/15,Merkur Internationale FH Karlsruhe,Northern Arizona University,External Applications,Middle School Teaching,White,General,Not Hispanic,University Job Fair,0,1,,,,,0.96879274,2.840179,54.625,25.932098,18.942636,24.371952,1,Hired,Yes,7/17/16,7/17/16
578,Irene Snyder,Male,6/4/15,Utsunomiya University,Northern Arizona University,External Applications,Middle School Teaching,White,ELD - English Language Development,Not Hispanic,University Job Fair,0,1,,,,,0.96879274,2.840179,54.625,25.932098,18.942636,24.371952,1,Hired,Yes,7/17/16,7/17/16
65,Harold Marshall,None Given,6/5/15,Institute of Industrial Electronics Engineering,,External Applications,High School Teaching,No Race Provided,Business Education,Chose No Response,TPS Website,,3,,,,,0.96879274,2.840179,54.625,25.932098,18.942636,24.371952,0,Certification Pending,No,7/6/16,8/10/16
488,Laura Dunn,None Given,6/5/15,Coker College,,External Applications,High School Teaching,No Race Provided,General,Chose No Response,TPS Website,,3,,,,,0.96879274,2.840179,54.625,25.932098,18.942636,24.371952,0,Certification Pending,No,7/6/16,8/10/16
414,Louis Carroll,None Given,6/5/15,Ecole Superieur d'Ingenieurs Leonard de Vinci,,External Applications,High School Teaching,No Race Provided,English,Chose No Response,TPS Website,,3,,,,,0.96879274,2.840179,54.625,25.932098,18.942636,24.371952,0,Certification Pending,No,7/6/16,8/10/16
217,Marilyn Gordon,Female,6/11/15,Nile University,,Internal Applications,Elementary School Teaching,White,General,Not Hispanic,TPS Website,0,0,,,,23,0.96879274,2.840179,54.625,25.932098,18.942636,24.371952,1,Certified and HQ,Yes,1/18/17,1/18/17
983,Gregory Little,Female,6/3/15,Kodolanyi Janos University College,,Internal Applications,Elementary School Teaching,White,Elementary - Grades 1 - 6,Not Hispanic,Community Job Fair,0,26,,,,23,0.96879274,2.840179,54.625,25.932098,18.942636,24.371952,1,2016 Teacher Transfer,Yes,5/28/16,5/28/16
191,Shawn Bradley,Female,6/3/15,Merkur Internationale FH Karlsruhe,,Internal Applications,Elementary School Teaching,White,General,Not Hispanic,Community Job Fair,0,26,,,,23,0.96879274,2.840179,54.625,25.932098,18.942636,24.371952,1,2016 Teacher Transfer,Yes,5/28/16,5/28/16
727,Earl Payne,Female,6/3/15,Utsunomiya University,,Internal Applications,Middle School Teaching,White,Foreign Language - Spanish,Not Hispanic,Community Job Fair,0,26,,,,23,0.96879274,2.840179,54.625,25.932098,18.942636,24.371952,1,2016 Teacher Transfer,Yes,5/28/16,5/28/16
51,Richard Powell,Female,6/3/15,Institute of Industrial Electronics Engineering,,Internal Applications,Middle School Teaching,White,Language Arts,Not Hispanic,Community Job Fair,0,26,,,,23,0.96879274,2.840179,54.625,25.932098,18.942636,24.371952,1,2016 Teacher Transfer,Yes,5/28/16,5/28/16
921,Janet Riley,Female,6/10/15,Coker College,,External Applications,Elementary School Teaching,White,Reading Interventionist,Not Hispanic,Current TPS Employee (Please type the employee's name below),0,4,,,,,0.96879274,2.840179,54.625,25.932098,18.942636,24.371952,1,Certified and HQ,Yes,6/10/15,8/3/16
674,Fred Bennett,Female,6/10/15,Ecole Superieur d'Ingenieurs Leonard de Vinci,,External Applications,Elementary School Teaching,White,General,Not Hispanic,Current TPS Employee (Please type the employee's name below),0,4,,,,,0.96879274,2.840179,54.625,25.932098,18.942636,24.371952,1,Certified and HQ,Yes,6/10/15,8/3/16
314,Deborah Roberts,Female,6/10/15,Nile University,,External Applications,Elementary School Teaching,White,Curriculum Resource Teacher,Not Hispanic,Current TPS Employee (Please type the employee's name below),0,4,,,,,0.96879274,2.840179,54.625,25.932098,18.942636,24.371952,1,Certified and HQ,Yes,6/10/15,8/3/16
47,Charles Dunn,Female,6/10/15,Kodolanyi Janos University College,,External Applications,Elementary School Teaching,White,ELD - English Language Development,Not Hispanic,Current TPS Employee (Please type the employee's name below),0,4,,,,,0.96879274,2.840179,54.625,25.932098,18.942636,24.371952,1,Certified and HQ,Yes,6/10/15,8/3/16
409,Helen Brooks,Male,6/2/15,Merkur Internationale FH Karlsruhe,,External Applications,High School Teaching,White,English,Not Hispanic,Current TPS Employee (Please type the employee's name below),1,23,,,,,0.96879274,2.840179,54.625,25.932098,18.942636,24.371952,0,Withdrawn,No,6/2/15,4/26/16
445,Marie Payne,Male,6/2/15,Ecole Superieur d'Ingenieurs Leonard de Vinci,,External Applications,Middle School Teaching,White,Language Arts,Not Hispanic,Current TPS Employee (Please type the employee's name below),1,23,,,,,0.96879274,2.840179,54.625,25.932098,18.942636,24.371952,0,Withdrawn,No,6/2/15,4/26/16
88,Antonio Walker,Male,6/3/15,Nile University,,External Applications,Elementary School Teaching,No Race Provided,ELD - English Language Development,Not Hispanic,Teachers-Teachers,1,,,,,28,0.96879274,2.840179,54.625,25.932098,18.942636,24.371952,0,TM Bank,No,8/1/16,8/1/16
837,Daniel Lee,Male,6/3/15,Kodolanyi Janos University College,,External Applications,Elementary School Teaching,No Race Provided,General,Not Hispanic,Teachers-Teachers,1,,,,,28,0.96879274,2.840179,54.625,25.932098,18.942636,24.371952,0,TM Bank,No,8/1/16,8/1/16
904,Janet Knight,Male,6/3/15,Merkur Internationale FH Karlsruhe,,External Applications,Elementary School Teaching,No Race Provided,Elementary - Grades 1 - 6,Not Hispanic,Teachers-Teachers,1,,,,,28,0.96879274,2.840179,54.625,25.932098,18.942636,24.371952,0,TM Bank,No,8/1/16,8/1/16
380,Fred Patterson,Male,6/3/15,Utsunomiya University,,External Applications,High School Teaching,No Race Provided,General,Not Hispanic,Teachers-Teachers,0,,,,,28,0.96879274,2.840179,54.625,25.932098,18.942636,24.371952,0,TM Bank,No,8/1/16,8/1/16
643,Virginia Gomez,Male,6/3/15,Institute of Industrial Electronics Engineering,,External Applications,High School Teaching,No Race Provided,Foreign Language - Spanish,Not Hispanic,Teachers-Teachers,0,,,,,28,0.96879274,2.840179,54.625,25.932098,18.942636,24.371952,0,TM Bank,No,8/1/16,8/1/16
907,Theresa Grant,Male,6/3/15,Coker College,,External Applications,Middle School Teaching,No Race Provided,ELD - English Language Development,Not Hispanic,Teachers-Teachers,0,2,,,,28,0.96879274,2.840179,54.625,25.932098,18.942636,24.371952,0,TM Bank,No,8/1/16,8/1/16
757,Jonathan Owens,Male,6/3/15,Ecole Superieur d'Ingenieurs Leonard de Vinci,,External Applications,Middle School Teaching,No Race Provided,Foreign Language - Spanish,Not Hispanic,Teachers-Teachers,0,2,,,,28,0.96879274,2.840179,54.625,25.932098,18.942636,24.371952,0,TM Bank,No,8/1/16,8/1/16
347,Melissa Morris,Female,6/3/15,Nile University,,External Applications,High School Teaching,White,Social Studies - History,Not Hispanic,Word of Mouth,,,,,15,,0.96879274,2.840179,54.625,25.932098,18.942636,24.371952,0,Screened Out,No,7/12/16,7/12/16
952,Richard Ferguson,Female,6/3/15,Kodolanyi Janos University College,,External Applications,Middle School Teaching,White,Social Studies,Not Hispanic,Word of Mouth,,0,,,15,,0.96879274,2.840179,54.625,25.932098,18.942636,24.371952,0,Screened Out,No,7/12/16,7/12/16
824,Mary Butler,Male,6/4/15,Merkur Internationale FH Karlsruhe,,Internal Applications,High School Teaching,White,Science - General,Not Hispanic,None Listed,,,,,,,,,,,,,1,2016 Teacher Transfer,Yes,4/10/16,4/10/16
269,Maria Palmer,Male,6/4/15,Utsunomiya University,,Internal Applications,High School Teaching,White,Science - Biology,Not Hispanic,None Listed,,,,,,,,,,,,,1,2016 Teacher Transfer,Yes,4/10/16,4/10/16
819,Juan Williams,Male,6/4/15,Institute of Industrial Electronics Engineering,,Internal Applications,High School Teaching,White,General,Not Hispanic,None Listed,,,,,,,,,,,,,1,2016 Teacher Transfer,Yes,4/10/16,4/10/16
704,Betty Kelly,Male,6/4/15,Coker College,,Internal Applications,High School Teaching,White,Science - Physical Science,Not Hispanic,None Listed,,,,,,,,,,,,,1,2016 Teacher Transfer,Yes,4/10/16,4/10/16
344,Christina Rose,Male,6/4/15,Ecole Superieur d'Ingenieurs Leonard de Vinci,,Internal Applications,Middle School Teaching,White,Foreign Language - Spanish,Not Hispanic,None Listed,,,,,,,,,,,,,1,2016 Teacher Transfer,Yes,4/10/16,4/10/16
798,Willie Black,Male,6/4/15,Nile University,,Internal Applications,Middle School Teaching,White,Science,Not Hispanic,None Listed,,,,,,,,,,,,,1,2016 Teacher Transfer,Yes,4/10/16,4/10/16
901,Evelyn Simmons,Female,6/6/15,Kodolanyi Janos University College,Missouri Southern State University,External Applications,Elementary School Teaching,White,Early Childhood - Pre-Kindergarten / Kindergarten,Not Hispanic,TPS Website,1,0,,,52,,0.96879274,2.840179,54.625,25.932098,18.942636,24.371952,1,Screened Out,Yes,8/2/16,8/2/16
632,Mildred Rodriguez,Female,6/6/15,Merkur Internationale FH Karlsruhe,Missouri Southern State University,External Applications,Elementary School Teaching,White,Special Education,Not Hispanic,TPS Website,1,0,,,52,,0.96879274,2.840179,54.625,25.932098,18.942636,24.371952,1,Screened Out,Yes,8/2/16,8/2/16
898,Charles Moore,Female,6/6/15,Utsunomiya University,Missouri Southern State University,External Applications,Elementary School Teaching,White,Computers,Not Hispanic,TPS Website,1,0,,,52,,0.96879274,2.840179,54.625,25.932098,18.942636,24.371952,1,Screened Out,Yes,8/2/16,8/2/16
353,Jack Thompson,Female,6/6/15,Institute of Industrial Electronics Engineering,Missouri Southern State University,External Applications,Elementary School Teaching,White,Elementary - Grades 1 - 6,Not Hispanic,TPS Website,1,0,,,52,,0.96879274,2.840179,54.625,25.932098,18.942636,24.371952,1,Screened Out,Yes,8/2/16,8/2/16
813,Martin Taylor,Female,6/6/15,Coker College,Missouri Southern State University,External Applications,Elementary School Teaching,White,General,Not Hispanic,TPS Website,1,0,,,52,,0.96879274,2.840179,54.625,25.932098,18.942636,24.371952,1,Screened Out,Yes,8/2/16,8/2/16
693,Jean Sanchez,Female,6/6/15,Ecole Superieur d'Ingenieurs Leonard de Vinci,Missouri Southern State University,External Applications,Elementary School Teaching,White,Reading Interventionist,Not Hispanic,TPS Website,1,0,,,52,,0.96879274,2.840179,54.625,25.932098,18.942636,24.371952,1,Screened Out,Yes,8/2/16,8/2/16
921,Diana Welch,Female,6/6/15,Nile University,Missouri Southern State University,External Applications,High School Teaching,White,English,Not Hispanic,TPS Website,,0,,,2,,0.96879274,2.840179,54.625,25.932098,18.942636,24.371952,1,Screened Out,Yes,8/2/16,8/2/16
595,Anna Boyd,Female,6/6/15,Kodolanyi Janos University College,Missouri Southern State University,External Applications,High School Teaching,White,Reading,Not Hispanic,TPS Website,,0,,,2,,0.96879274,2.840179,54.625,25.932098,18.942636,24.371952,1,Screened Out,Yes,8/2/16,8/2/16
670,Benjamin Collins,Female,6/6/15,Merkur Internationale FH Karlsruhe,Missouri Southern State University,External Applications,High School Teaching,White,Special Education,Not Hispanic,TPS Website,,0,,,2,,0.96879274,2.840179,54.625,25.932098,18.942636,24.371952,1,Screened Out,Yes,8/2/16,8/2/16
387,Eric Green,Female,6/6/15,Ecole Superieur d'Ingenieurs Leonard de Vinci,Missouri Southern State University,External Applications,High School Teaching,White,General,Not Hispanic,TPS Website,,0,,,2,,0.96879274,2.840179,54.625,25.932098,18.942636,24.371952,1,Screened Out,Yes,8/2/16,8/2/16
849,Betty Hamilton,Female,6/6/15,Nile University,Missouri Southern State University,External Applications,High School Teaching,White,English - Reading,Not Hispanic,TPS Website,,0,,,2,,0.96879274,2.840179,54.625,25.932098,18.942636,24.371952,1,Screened Out,Yes,8/2/16,8/2/16
267,James Cooper,Female,6/6/15,Kodolanyi Janos University College,Missouri Southern State University,External Applications,High School Teaching,White,Career Tech,Not Hispanic,Teachers-Teachers,,0,,,2,,0.96879274,2.840179,54.625,25.932098,18.942636,24.371952,1,Screened Out,Yes,8/2/16,8/2/16
968,Stephen Green,Female,6/6/15,Merkur Internationale FH Karlsruhe,Missouri Southern State University,External Applications,Middle School Teaching,White,General,Not Hispanic,TPS Website,,,,,,,,,,,,,1,Screened Out,Yes,8/2/16,8/2/16
759,Paul Mason,Female,6/6/15,Utsunomiya University,Missouri Southern State University,External Applications,Middle School Teaching,White,Reading,Not Hispanic,TPS Website,,,,,,,,,,,,,1,Screened Out,Yes,8/2/16,8/2/16
824,Carl Watkins,Male,6/3/15,Institute of Industrial Electronics Engineering,,Internal Applications,Elementary School Teaching,Hispanic-Non White,General,Hispanic,Teachers-Teachers,0,1,,,,,0.96879274,2.840179,54.625,25.932098,18.942636,24.371952,0,Hold for Certification,No,10/31/16,11/15/16
359,Michelle Williams,Male,6/3/15,Coker College,,Internal Applications,Elementary School Teaching,Hispanic-Non White,ELD - English Language Development,Hispanic,Teachers-Teachers,0,1,,,,,0.96879274,2.840179,54.625,25.932098,18.942636,24.371952,0,Hold for Certification,No,10/31/16,11/15/16
7,Elizabeth Wagner,Male,6/3/15,Ecole Superieur d'Ingenieurs Leonard de Vinci,,Internal Applications,High School Teaching,Hispanic-Non White,General,Hispanic,Teachers-Teachers,0,1,,,,,0.96879274,2.840179,54.625,25.932098,18.942636,24.371952,0,Hold for Certification,No,10/31/16,11/15/16
173,Larry Ward,Female,6/18/15,Nile University,,External Applications,Elementary School Teaching,Black,General,Not Hispanic,Teachers-Teachers,0,,,,,,0.96879274,2.840179,54.625,25.932098,18.942636,24.371952,0,Certification Pending,No,10/20/16,11/16/16
882,Henry Ross,Female,6/18/15,Kodolanyi Janos University College,,External Applications,High School Teaching,Black,General,Not Hispanic,Teachers-Teachers,1,0,,,,,0.96879274,2.840179,54.625,25.932098,18.942636,24.371952,0,Certification Pending,No,10/20/16,11/16/16
692,Julie Scott,Female,6/18/15,Merkur Internationale FH Karlsruhe,,External Applications,High School Teaching,Black,Business Education,Not Hispanic,Teachers-Teachers,1,0,,,,,0.96879274,2.840179,54.625,25.932098,18.942636,24.371952,0,Certification Pending,No,10/20/16,11/16/16
185,Carol Ross,Female,6/18/15,Utsunomiya University,,External Applications,Middle School Teaching,Black,General,Not Hispanic,Teachers-Teachers,0,,,,,,0.96879274,2.840179,54.625,25.932098,18.942636,24.371952,0,Certification Pending,No,10/20/16,11/16/16
96,Annie Cook,Female,6/10/15,Institute of Industrial Electronics Engineering,Southern Nazarene University,Internal Applications,Elementary School Teaching,Native American,Elementary - Grades 1 - 6,Not Hispanic,Teachers-Teachers,1,6,,,,33,0.96879274,2.840179,54.625,25.932098,18.942636,24.371952,1,2016 Teacher Transfer,Yes,3/30/16,3/30/16
988,Billy Lee,Female,6/10/15,Coker College,Southern Nazarene University,Internal Applications,Middle School Teaching,Native American,General,Not Hispanic,Teachers-Teachers,1,6,,,,33,0.96879274,2.840179,54.625,25.932098,18.942636,24.371952,1,2016 Teacher Transfer,Yes,3/30/16,3/30/16
88,Amanda Knight,Female,6/10/15,Ecole Superieur d'Ingenieurs Leonard de Vinci,Southern Nazarene University,Internal Applications,Middle School Teaching,Native American,Mathematics,Not Hispanic,Teachers-Teachers,1,6,,,,33,0.96879274,2.840179,54.625,25.932098,18.942636,24.371952,1,2016 Teacher Transfer,Yes,3/30/16,3/30/16
26,Keith Stevens,Female,6/11/15,Nile University,Universidad AutÌÎÌãÌ´ÌãÌÎÌ¢Ì´_noma de Aguascalientes and Texas Christian University,External Applications,Elementary School Teaching,Hispanic-Non White,General,Hispanic,Teachers-Teachers,0,1,,,,,0.96879274,2.840179,54.625,25.932098,18.942636,24.371952,1,Certification Pending,Yes,7/15/16,1/4/17
471,Teresa Boyd,Female,6/11/15,Kodolanyi Janos University College,Universidad AutÌÎÌãÌ´ÌãÌÎÌ¢Ì´_noma de Aguascalientes and Texas Christian University,External Applications,Elementary School Teaching,Hispanic-Non White,Elementary - Grades 1 - 6,Hispanic,TPS Website,0,1,,,,,0.96879274,2.840179,54.625,25.932098,18.942636,24.371952,1,Certification Pending,Yes,7/15/16,1/4/17
50,Jane Ellis,Female,6/11/15,Merkur Internationale FH Karlsruhe,Universidad AutÌÎÌãÌ´ÌãÌÎÌ¢Ì´_noma de Aguascalientes and Texas Christian University,External Applications,High School Teaching,Hispanic-Non White,Social Studies - Economics,Hispanic,TPS Website,0,1,,,,,0.96879274,2.840179,54.625,25.932098,18.942636,24.371952,1,Certification Pending,Yes,7/15/16,1/4/17
762,Jeffrey Bryant,Female,6/11/15,Utsunomiya University,Universidad AutÌÎÌãÌ´ÌãÌÎÌ¢Ì´_noma de Aguascalientes and Texas Christian University,External Applications,High School Teaching,Hispanic-Non White,ELD - English Language Development,Hispanic,TPS Website,0,1,,,,,0.96879274,2.840179,54.625,25.932098,18.942636,24.371952,1,Certification Pending,Yes,7/15/16,1/4/17
491,Margaret Rivera,Female,6/11/15,Institute of Industrial Electronics Engineering,Universidad AutÌÎÌãÌ´ÌãÌÎÌ¢Ì´_noma de Aguascalientes and Texas Christian University,External Applications,High School Teaching,Hispanic-Non White,Foreign Language - Spanish,Hispanic,TPS Website,0,1,,,,,0.96879274,2.840179,54.625,25.932098,18.942636,24.371952,1,Certification Pending,Yes,7/15/16,1/4/17
207,Michael Anderson,Female,6/11/15,Coker College,Universidad AutÌÎÌãÌ´ÌãÌÎÌ¢Ì´_noma de Aguascalientes and Texas Christian University,External Applications,High School Teaching,Hispanic-Non White,General,Hispanic,TPS Website,0,1,,,,,0.96879274,2.840179,54.625,25.932098,18.942636,24.371952,1,Certification Pending,Yes,7/15/16,1/4/17
